AFNOR;SANDRE;DENOMINATION;CL1;CL2;CL3;CL4;CL5;CL6;CL7;Val.Ind.;Origine
AGRU;6919;Achnanthes grubei Simonsen                                                                                                                ;0;0,01931;0;0,02134;0,07793;0,75861;0,12281;1,304123336;T-Cor
AGSL;;Aulacoseira granulata (Ehrenberg) Simonsen sensu lato                                                                                     ;0,02446;0,05031;0,16062;0,56411;0,19057;0,00983;0,0001;1,039632651;T-Cor
AHAE;6922;Achnanthes hauckiana var, elliptica Schulz                                                                                                ;0,00241;0,01337;0,11235;0,68818;0,15735;0,02618;0,00015;1,207905611;T-Cor
AHAL;31316;Achnanthes helvetica var, alpina Flower et Jones                                                                                          ;0;0,00056;0,01435;0,06426;0,17637;0,29857;0,44589;0,945001197;T-Cor
AHAU;6920;Achnanthes hauckiana Grunow in Cleve et Grunow var, hauckiana                                                                             ;0,00241;0,01337;0,11235;0,68818;0,15735;0,02618;0,00015;1,207905611;T-Cor
AHBO;30936;Achnanthes haynaldii var, borussica Cleve-Euler                                                                                           ;0,00017;0,00149;0,02649;0,26516;0,48219;0,22342;0,00108;0,993945455;T-Cor
AHEL;6924;Achnanthes helvetica (Hustedt) Lange-Bertalot var, helvetica                                                                              ;0;0,00056;0,01435;0,06426;0,17637;0,29857;0,44589;0,945001197;T-Cor
AHLA;6921;Achnanthes hauckiana f, lancettula Hustedt in Schmidt et al,                                                                              ;0,00241;0,01337;0,11235;0,68818;0,15735;0,02618;0,00015;1,207905611;T-Cor
AHMI;31315;Achnanthes helvetica var, minor Flower et Jones                                                                                           ;0;0,00056;0,01435;0,06426;0,17637;0,29857;0,44589;0,945001197;T-Cor
AHOF;35959;Achnanthidium hoffmannii Van de Vijver, Ector, Mertens et Jarlman                                                                         ;0,00019;0,00111;0,01334;0,06801;0,20781;0,38313;0,32641;0,906358419;T-Cor
AHOL;7106;Amphora holsatica Hustedt                                                                                                                 ;0;0,29422;0,3778;0,20967;0,11762;0,00069;0;0,880003884;L-P
AHOS;32425;Achnanthes holsatica Hustedt in Schmidt et al,                                                                                            ;0;0;0,1181;0,41358;0,3373;0,13102;0;0,932200134;L-P
AHTV;37391;Achnanthes heterovalvata (Krasske) Frenguelli                                                                                             ;0;0,07126;0,30533;0,454;0,0901;0,07542;0,00388;0,936181859;T-Cor
AHUN;6926;Achnanthes hungarica Grunow in Cleve et Grunow var, hungarica                                                                             ;0,23732;0,32221;0,26065;0,14338;0,02984;0,00659;0,00002;0,803495135;T-Cor
AHUS;6927;Achnanthes hustedtii (Krasske) Reimer in Patrick et Reimer                                                                                ;0;0,00021;0,01556;0,62206;0,02271;0,3348;0,00466;1,193537709;T-Cor
AHUT;;Achnanthes hustedtii Bily & Marvan                                                                                                        ;0;0,01931;0;0,02134;0,07793;0,75861;0,12281;1,304123336;T-Cor
AICP;40790;Achnanthidium minutissimum var, inconspicuum (Østrup) Jüttner et Cox                                                                      ;0;0;0;0,00443;0,01428;0,00595;0,97534;1,628215877;T-Cor
AICR;;Aulacoseira italica f, crenulata (Ehrenberg) R, Ross in Hartley                                                                           ;0;0,08585;0,15191;0,32822;0,34477;0,08924;0;0,836386694;T-Cor
AINA;7107;Amphora inariensis Krammer                                                                                                                ;0,00006;0,00008;0,00991;0,07146;0,42761;0,43814;0,05274;1,038518764;L-P
AISA;10901;Aulacoseira italica subsp, subarctica (O, Müller) Simonsen                                                                                ;0;0,08832;0,5498;0,19637;0,12355;0,0407;0,00126;1,01271059;T-Cor
AITE;8569;Aulacoseira italica var, tenuissima (Grunow) Simonsen                                                                                     ;0;0;0,0414;0,86437;0,01904;0,06031;0,01489;1,458106544;L-P
AITL;34772;Aulacoseira italica (Ehrenb,)Simonsen emend Crawford Likoshway et Jahn                                                                    ;0;0;0;0,13943;0,31126;0,54135;0,00795;1,076668028;T-Cor
AIVS;;Aulacoseira italica (Ehr,) Simonsen var,subarctica (O, Müller) N,N,Davydova in Glezer et al,                                              ;0;0,08832;0,5498;0,19637;0,12355;0,0407;0,00126;1,01271059;T-Cor
AJAK;6931;Achnanthes jakovljevicii Hustedt                                                                                                          ;0;0,01931;0;0,02134;0,07793;0,75861;0,12281;1,304123336;T-Cor
AJCK;37393;Achnanthes jackii (Rabenhorst) Tempère et Peragallo                                                                                       ;0;0,00174;0,02262;0,06284;0,33161;0,55819;0,02301;1,100115154;T-Cor
AKAF;6937;Achnanthes kryophila var, africana Cholnoky                                                                                               ;0;0,00145;0,00207;0,06133;0,16114;0,58266;0,19135;1,071610824;T-Cor
AKDE;6938;Achnanthes kryophila var, densestriata Hustedt                                                                                            ;0;0,01931;0;0,02134;0,07793;0,75861;0,12281;1,304123336;T-Cor
AKEN;31314;Achnanthes kenyae Cholnoky                                                                                                                ;0;0,00056;0,01435;0,06426;0,17637;0,29857;0,44589;0,945001197;T-Cor
AKKO;;Achnanthes kolbei var, kolbei Hustedt                                                                                                     ;0;0,00657;0,0101;0,03316;0,37064;0,565;0,01453;1,141617565;T-Cor
AKOL;6934;Achnanthes kolbei Hustedt                                                                                                                 ;0;0,00657;0,0101;0,03316;0,37064;0,565;0,01453;1,141617565;T-Cor
AKPR;6939;Achnanthes kryophila var, protracta Hustedt                                                                                               ;0;0;0,01026;0,03905;0,07183;0,6542;0,22466;1,175769005;T-Cor
AKRA;6935;Achnanthes krasskei Kobayasi et Sawatari                                                                                                  ;0;0,00021;0,01556;0,62206;0,02271;0,3348;0,00466;1,193537709;T-Cor
AKRY;6936;Achnanthes kryophila Petersen var, kryophila                                                                                              ;0;0;0;0;0,92662;0,07338;0;1,556106092;T-Cor
AKRZ;10963;Achnanthes kranzii Lange-Bertalot                                                                                                         ;0;0;0,00547;0,00623;0,01476;0,68234;0,29119;1,252782929;L-P
ALAB;6955;Achnanthes lanceolata var, abbreviata Reimer                                                                                              ;0;0;0;0;0,61087;0,38913;0;1,222875419;T-Cor
ALAD;;Achnanthes lanceolata var, dubia Grunow in Cleve & Grunow                                                                                 ;0;0;0,00207;0,08147;0,35147;0,41331;0,15168;0,946013864;T-Cor
ALAE;6956;Achnanthes lanceolata var, elliptica Cleve                                                                                                ;0,03408;0,11888;0,3079;0,41953;0,08311;0,03647;0,00003;0,893571568;T-Cor
ALAL;8573;Aulacoseira lirata var, alpigena (Grunow) Haworth                                                                                         ;0;0,11863;0,19303;0,60749;0,00364;0,03456;0,04265;1,095883897;T-Cor
ALAN;6958;Achnanthes lanceolata Grunow var, lanceolata                                                                                              ;0,00391;0,03418;0,11119;0,20825;0,38276;0,24807;0,01165;0,836563684;T-Cor
ALAO;6954;Achnanthes lanceolata var, œstrupii Cleve-Euler                                                                                           ;0;0;0;0,1031;0,09628;0,80062;0;1,369648309;T-Cor
ALAP;6962;Achnanthes lapidosa Krasske var, lapidosa                                                                                                 ;0;0,00185;0,00213;0,02608;0,07829;0,36828;0,52337;1,086252088;T-Cor
ALAR;6948;Achnanthes lanceolata subsp, rostrata (Østrup) Lange-Bertalot                                                                             ;0,00017;0,00149;0,02649;0,26516;0,48219;0,22342;0,00108;0,993945455;T-Cor
ALAT;6966;Achnanthes laterostrata Hustedt var, laterostrata                                                                                         ;0;0;0,0021;0,11694;0,8218;0,04951;0,00965;1,39991406;T-Cor
ALAU;6967;Achnanthes lauenburgiana Hustedt                                                                                                          ;0,00031;0,01061;0,01376;0,12895;0,45894;0,38646;0,00096;1,029803109;T-Cor
ALBO;32599;Achnanthes lanceolata var, boyei (Østrup) Lange-Bertalot                                                                                  ;0,00391;0,03418;0,11119;0,20825;0,38276;0,24807;0,01165;0,836563684;T-Cor
